Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2010-01-04,6.418383598327637,6.433079146557626,6.369498276526275,6.400988794222488,493729600
2010-01-05,6.429481506347656,6.465770706614322,6.395591244573908,6.436079688368402,601904800
2010-01-06,6.327210903167725,6.454972873596536,6.320612722382102,6.429480302803004,552160000
2010-01-07,6.315514087677002,6.35810194747882,6.269627938141667,6.350604014340531,477131200
2010-01-08,6.357501029968262,6.3581012649785595,6.26992798327909,6.307116125958441,447610800
2010-01-11,6.301417350769043,6.38809103021889,6.25163188998801,6.382092685444416,462229600
2010-01-12,6.229737281799316,6.291219508477973,6.19074924610234,6.273823910022812,594459600
2010-01-13,6.317612171173096,6.326009854509733,6.1211715700547416,6.2342379752958355,605892000
2010-01-14,6.2810235023498535,6.311914580091045,6.268727294960274,6.30141787628388,432894000
2010-01-15,6.176056861877441,6.346106401651219,6.174257357712498,6.326011938476013,594067600
2010-01-19,6.449274063110352,6.453772822750024,6.215344568202023,6.248034353646047,730007600
2010-01-20,6.350003719329834,6.464568918763532,6.283123366073346,6.445374612955087,612152800
2010-01-21,6.240235328674316,6.397388775859323,6.214443244121995,6.360500152663364,608154400
2010-01-22,5.930727958679199,6.223140474346407,5.9130336415271545,6.201547232889457,881767600
2010-01-25,6.0902814865112305,6.1391664065053355,6.0039073030690755,6.073486517520357,1065699600
2010-01-26,6.17635440826416,6.409384902660556,6.075584616253011,6.176654325509852,1867110000
2010-01-27,6.234536647796631,6.315511895034885,5.984110973429102,6.203645574415417,1722568400
2010-01-28,5.976912975311279,6.163157553564718,5.959218661235868,6.1460630738934565,1173502400
2010-01-29,5.760081768035889,6.0641912003694705,5.705797920632328,6.030601252865709,1245952400
2010-02-01,5.840154647827148,5.878243336295521,5.737285437492803,5.769375781187085,749876400
2010-02-02,5.874044895172119,5.8878410890925075,5.799667417023564,5.875544881891391,698342400
2010-02-03,5.975116729736328,6.004208313774833,5.830859680277323,5.853353082272848,615328000
2010-02-04,5.759779930114746,5.94932284291976,5.745383900908048,5.900137210644071,757652000
2010-02-05,5.86204719543457,5.878242724639399,5.723788566166591,5.777173028254012,850306800
2010-02-08,5.821860313415527,5.934626796824991,5.818261306417096,5.868946520797875,478270800
2010-02-09,5.883942127227783,5.923230086653879,5.840754843034154,5.890839823720444,632886800
2010-02-10,5.8518524169921875,5.896239778495519,5.82606032915218,5.874945249039338,370361600
2010-02-11,5.958320140838623,5.990710807109093,5.820061476209256,5.84465429309041,550345600
2010-02-12,6.009605407714844,6.0473941860112355,5.8632489712459295,5.941525383068205,655468800
2010-02-16,6.100180149078369,6.10887735265658,6.043796883026605,6.0563930125367245,543737600
2010-02-17,6.074685573577881,6.127469409807237,6.023999956904297,6.123870402676077,436396800
2010-02-18,6.086082935333252,6.114874598140544,6.0258007542144325,6.047094083464997,422825200
2010-02-19,6.048293590545654,6.094180136204051,6.031498622313618,6.053992419620312,415469600
2010-02-22,6.010804176330566,6.073185767185606,5.9739155534115564,6.068387491291827,390563600
2010-02-23,5.910033702850342,6.038095559514353,5.869546077306243,5.998207368018038,575094800
2010-02-24,6.018002986907959,6.041395734646007,5.933427512524327,5.945124286816969,460566400
2010-02-25,6.05819034576416,6.08398243030015,5.90493622363693,5.919631769536309,665126000
2010-02-26,6.136768341064453,6.153263395089882,6.058191996534378,6.069588455548256,507460800
2010-03-01,6.267827987670898,6.2831229673818125,6.1616592776797585,6.170656395231517,550093600
2010-03-02,6.263630390167236,6.323012418905916,6.23033996746918,6.296020260041699,566546400
2010-03-03,6.278024196624756,6.294219729556133,6.236337296884685,6.266328223688183,372052800
2010-03-04,6.3194122314453125,6.325710494502627,6.257030636719899,6.276525660892347,366041200
2010-03-05,6.566539764404297,6.589033163672156,6.436978281146776,6.4462757183526085,899620400
2010-03-08,6.570437431335449,6.600727874514571,6.5455446982012,6.598328936763916,429889600
2010-03-09,6.688601970672607,6.747983988233552,6.5347480155052615,6.547344140378251,920259200
2010-03-10,6.743185043334961,6.762379747784232,6.694000214878,6.712894601646677,596218000
2010-03-11,6.7629804611206055,6.7629804611206055,6.6976004849702235,6.715295607529197,405700400
2010-03-12,6.7959699630737305,6.829859413259236,6.770477395587732,6.819062391556351,416323600
2010-03-15,6.71319580078125,6.76298007283493,6.605527487069841,6.759381865910766,493502800
2010-03-16,6.731489658355713,6.747384874886283,6.673307303651842,6.7233922916517335,446908000
2010-03-17,6.721593856811523,6.791472596944784,6.696101683017723,6.744986609164284,450956800
2010-03-18,6.737488269805908,6.7479849753315975,6.676306339257857,6.7209924171761575,342109600
2010-03-19,6.665507793426514,6.7551810419762495,6.634916636766184,6.741685167215725,559445600
2010-03-22,6.740488052368164,6.777977319438845,6.60252927937838,6.612126634256938,456419600
2010-03-23,6.848753452301025,6.861349976980054,6.720991104526582,6.767177560835881,602431200
2010-03-24,6.87904691696167,6.903939656683956,6.823263090493969,6.827162416482702,597780400
2010-03-25,6.797471046447754,6.927032940506809,6.7854743523180066,6.925532953316888,542284400
2010-03-26,6.924932956695557,6.956423073137016,6.854453589753032,6.866450282214898,640875200
2010-03-29,6.969615459442139,7.014002400486163,6.946523038242239,6.987910807536874,540744400
2010-03-30,7.07338809967041,7.1222742243353565,7.025402127424633,7.095881499134138,527310000
2010-03-31,7.047895431518555,7.0961817208664435,7.031700696666116,7.062591781003132,430659600
2010-04-01,7.076984882354736,7.159759637370515,6.98041393441278,7.120172163711327,603145200
2010-04-05,7.152565002441406,7.15316483713265,7.0409981524122935,7.0472968170940415,684507600
2010-04-06,7.184053897857666,7.205047305284982,7.107876515241747,7.143865785722259,447017200
2010-04-07,7.215844631195068,7.25543291047899,7.1576614809404715,7.184353717878006,628502000
2010-04-08,7.196350574493408,7.244036220841957,7.139067575164863,7.211046120820424,572989200
2010-04-09,7.251536846160889,7.254536821094231,7.2116490320912305,7.240740620299603,334182800
2010-04-12,7.2665300369262695,7.289922785321371,7.25213400662328,7.26383038082083,333026400
2010-04-13,7.27072811126709,7.281825451766333,7.231139828601354,7.253634026475551,306210800
2010-04-14,7.368499279022217,7.372098286482365,7.319914280004684,7.3562030706236605,404076400
2010-04-15,7.465371131896973,7.468669821897401,7.363101330868881,7.371198697849782,376784800
2010-04-16,7.419784069061279,7.531950734401731,7.334309642445641,7.45487319116532,750545600
2010-04-19,7.409886360168457,7.434478774629757,7.25093341583169,7.40868669112902,566924400
2010-04-20,7.335509300231934,7.4752675555379975,7.2866239826888695,7.453973828134693,738326400
2010-04-21,7.774280071258545,7.805171159127282,7.669610914017255,7.761683542051914,982391200
2010-04-22,7.991713523864746,8.000111208500508,7.683705255319266,7.744887585389674,793424800
2010-04-23,8.12247371673584,8.162961349359016,8.007608198357367,8.037298808608805,796955600
2010-04-26,8.082587242126465,8.171360371399171,8.043298471375357,8.15396596668823,479068800
2010-04-27,7.858851909637451,8.032799921053616,7.813266086540235,8.015705037180366,709343600
2010-04-28,7.845656871795654,7.917634618442725,7.690003402987489,7.895142023092084,758402400
2010-04-29,8.056794166564941,8.097581317742483,7.857953400973559,7.888243847056184,558840800
2010-04-30,7.83035945892334,8.114673766828297,7.827660604452596,8.076884999155753,542463600
2010-05-03,7.988111972808838,8.03399890596341,7.884042702040163,7.912834754481316,454342000
2010-05-04,7.758081436157227,7.896340481899756,7.700199410508122,7.884344593054248,723819600
2010-05-05,7.6774067878723145,7.7418878028355165,7.459671644183973,7.588633674110378,883103200
2010-05-06,7.385294437408447,7.745186363881844,5.975714855685145,7.612626129587038,1285860800
2010-05-07,7.0736870765686035,7.394891707237273,6.754282750600837,7.309117759423397,1676018400
2010-05-10,7.617425918579102,7.637220464019738,7.453675046898161,7.50526003113847,984306400
2010-05-11,7.693300724029541,7.794370018714698,7.512754571632208,7.552941875235101,848906800
2010-05-12,7.860350608825684,7.891541198779305,7.758681474468938,7.774875402613652,654379600
2010-05-13,7.748485088348389,7.9476253373829095,7.689702108160894,7.894240867698595,599712400
2010-05-14,7.612329483032227,7.692105916245118,7.482768359053092,7.652517617063139,759362800
2010-05-17,7.624322891235352,7.683105880226959,7.429081136787595,7.63871892139997,762834800
2010-05-18,7.568538665771484,7.754183037090129,7.505556844719832,7.707097230560299,782678400
2010-05-19,7.447975158691406,7.5853340696832285,7.343306830829454,7.482764762359822,1025726800
2010-05-20,7.130673885345459,7.313319186376872,7.084187086454921,7.2542358560592275,1282915200
2010-05-21,7.267429351806641,7.3328097135376575,6.938426921036873,6.982513557488722,1223891200
2010-05-24,7.400589466094971,7.524752824929654,7.385594402041691,7.416185165591531,754238800
2010-05-25,7.354403495788574,7.400589156052803,7.112675769649705,7.178355653044309,1048006400
2010-05-26,7.321115970611572,7.561644923505658,7.310318944068859,7.500163056964297,850654000
2010-05-27,7.5982279777526855,7.614423506339482,7.47106629001467,7.515752750955908,666282400
2010-05-28,7.704099178314209,7.779676733887954,7.598230376798646,7.779377217020826,815614800
2010-06-01,7.822561740875244,7.9758158341508025,7.766478422859477,7.788371979162705,876472800
2010-06-02,7.916135787963867,7.94162755476338,7.807567337405935,7.933829705706585,688548000
2010-06-03,7.891245365142822,7.964123281314877,7.80996896206517,7.953025938600003,650106800
2010-06-04,7.676505088806152,7.85465109641888,7.636617303395844,7.7439844551336305,758304400
2010-06-07,7.5259528160095215,7.772178921853108,7.51425564046318,7.746386833968303,886942000
2010-06-08,7.4776692390441895,7.611729508244685,7.367302043024358,7.594934134550419,1000770400
2010-06-09,7.293821811676025,7.554745073788901,7.27252888332519,7.5418482286647155,854630000
